game_date,release_speed,release_spin_rate,vx0,vy0,vz0,balls,strikes,zone,release_pos_x,release_pos_z,pfx_x,pfx_z,plate_x,plate_z,release_extension,ax,ay,az,CH,FF,KC,SL,ball,called_strike,double,field_error,field_out,home_run,single,strikeout,strikeout_looking,swinging_strike,walk
2020-10-09,91.3,2685.0,7.375173421210551,-132.62437665736547,-8.829461160023065,2,2,14.0,-2.1,5.52,0.35,0.4,1.12,0.03,6.6,2.6395211720359155,27.51901355254433,-25.708058040730293,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2020-10-09,97.8,2493.0,6.786797641785894,-142.1750715365562,-4.709869722634253,2,1,1.0,-1.92,5.61,-1.24,1.66,-0.48,3.24,6.7,-18.356831115783297,35.61302999730856,-8.817318577446002,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-10-09,89.6,1895.0,9.557450689421778,-130.12156822379114,-4.518073947094542,2,0,6.0,-1.93,5.45,-1.31,1.26,0.79,2.28,6.8,-16.930479083711397,27.27937743074863,-17.03011125370499,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-10-09,83.1,2727.0,0.7328020438458085,-120.88607423900488,5.16475518368523,1,0,11.0,-1.9,5.68,0.82,-0.75,-0.87,4.44,6.4,7.865862966699152,24.85989740132133,-40.813833341928095,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2020-10-09,97.1,2531.0,8.394273818121826,-141.12038622968342,-2.543517884148263,0,0,12.0,-1.96,5.68,-1.26,1.61,0.08,4.01,6.6,-18.861391804356515,36.19489700232907,-10.440497802731503,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2020-10-09,85.8,2767.0,3.920666248857848,-124.95549108890684,-2.7226823794114248,2,2,8.0,-1.93,5.74,0.55,-0.55,0.18,1.47,6.6,4.922280677035234,25.526883889284814,-37.61083047155122,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2020-10-09,96.0,2488.0,5.911901424441319,-139.67063110954282,-5.14748571198127,2,1,1.0,-2.04,5.6,-1.04,1.7,-0.71,2.99,6.6,-14.931191335853756,32.527342715040234,-9.038643543362255,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-10-09,96.2,2504.0,6.982175521896624,-139.9507669707424,-0.3221291693568019,1,1,11.0,-2.05,5.51,-1.05,1.41,-0.32,4.49,6.4,-15.411581794237415,31.31327548811116,-13.761665054861808,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2020-10-09,87.9,1989.0,4.557658461996922,-127.87848011896295,-4.81595079162933,1,0,13.0,-1.99,5.52,-1.45,1.09,-1.36,1.93,6.6,-16.870617426158297,28.562852836893867,-19.44795010506128,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-10-09,82.4,2845.0,0.2732225429888588,-120.14017502122722,-1.390116457315269,0,0,13.0,-2.04,5.74,0.91,-0.87,-1.15,1.54,6.5,8.795040035336756,22.45627820823471,-40.53869686725375,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
