game_date,release_speed,release_spin_rate,vx0,vy0,vz0,balls,strikes,zone,release_pos_x,release_pos_z,pfx_x,pfx_z,plate_x,plate_z,release_extension,ax,ay,az,CH,CU,FF,SL,ball,called_strike,double,field_error,field_out,home_run,single,strikeout,strikeout_looking,swinging_strike,walk
2020-09-26,92.6,1610.0,5.567352490964665,-134.67453534135814,-5.868883190297036,2,1,14.0,-0.94,5.35,-1.14,0.11,0.22,0.91,7.2,-15.08834878984717,28.825003085410295,-29.76435222002026,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-09-26,93.3,1569.0,6.541613398475925,-135.5914272735831,-8.087212530172403,1,1,14.0,-0.83,5.39,-0.93,0.43,0.89,0.4,7.0,-12.908996761724046,30.2883715145486,-25.27085860645921,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2020-09-26,91.8,1515.0,3.2730971405210565,-133.66638631487393,-3.0192776699789032,1,0,7.0,-0.89,5.39,-0.99,0.15,-0.46,2.03,7.0,-12.566107799571627,28.97591630108004,-29.9018489488677,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-09-26,90.8,1535.0,1.4466348812331449,-132.18668430933894,-0.2065255422927273,0,0,11.0,-0.97,5.36,-1.07,0.22,-1.32,3.09,7.1,-12.882271306032267,29.233055460132704,-29.771238029550688,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2020-09-26,93.6,2570.0,3.142446034356364,-136.2667768961787,-5.654939596292644,0,1,9.0,-1.03,5.48,0.32,0.63,0.46,1.65,6.9,3.4083767415279174,28.11227895427106,-23.268386125997505,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2020-09-26,91.5,2568.0,3.2661358814601837,-133.36113147078763,-3.78914185288444,0,0,6.0,-1.01,5.47,0.51,0.4,0.71,2.03,6.9,5.563150402751946,25.68591280221478,-26.81635352763753,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2020-09-26,85.0,2735.0,0.245870358187699,-123.89486427572604,-2.647128696152788,2,2,13.0,-1.11,5.45,0.77,-0.43,-0.35,1.29,6.7,7.871920723961111,23.60405042178651,-36.30549004679399,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2020-09-26,94.3,1597.0,2.905742486333424,-137.19580459521032,-7.652488105987095,1,2,13.0,-0.79,5.4,-0.81,0.61,-0.39,0.84,7.1,-10.870514889414505,27.458334874094007,-23.11520603007269,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2020-09-26,93.2,2594.0,3.809965342934726,-135.6481549169417,-7.371191742508721,0,2,14.0,-0.84,5.51,0.36,0.47,0.93,0.86,6.9,3.742724948261998,25.82309221638445,-25.06785092783379,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2020-09-26,88.0,2645.0,1.176113388541582,-128.21083755977585,-2.26924495982963,0,1,8.0,-0.92,5.43,0.58,-0.3,0.05,1.75,6.9,6.2469928462069495,25.001078579279927,-35.26490017879117,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-09-26,86.2,2613.0,0.3404064447027723,-125.59480235838542,-2.2089682523212035,0,0,7.0,-0.97,5.58,0.53,-0.59,-0.37,1.55,6.7,5.568736419619043,24.033340715951667,-38.21176275085124,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-09-26,93.9,2551.0,4.549408861803203,-136.66446020145935,-7.232785853954289,0,2,14.0,-0.93,5.5,0.21,0.47,0.99,0.94,6.9,1.7991980660333,27.416745095498403,-25.004077491499192,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2020-09-26,92.1,1502.0,3.360114983195856,-134.11405649162813,-3.2121744306059945,0,1,4.0,-0.86,5.47,-1.24,0.29,-0.62,2.19,7.1,-15.658416739684023,27.659469385296585,-28.21769143570152,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-09-26,93.8,2577.0,4.69406589398525,-136.50021616575705,-6.251746693298677,0,0,14.0,-0.98,5.5,0.11,0.51,0.91,1.35,6.9,0.4124787055044196,26.87268686167656,-24.732009092609463,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2020-09-26,100.2,2537.0,5.623100711708461,-145.78754876259467,-5.431280423680271,2,2,3.0,-0.98,5.45,-0.81,1.43,0.34,2.79,7.0,-12.847267195266562,34.43266920342284,-10.677115979195724,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2020-09-26,99.1,2406.0,3.84427689049115,-144.24791478747196,-7.13154652947763,2,1,5.0,-1.01,5.49,-0.42,1.45,0.02,2.18,7.0,-6.701838575136946,32.5320537804683,-10.425797076185091,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2020-09-26,92.9,2514.0,3.253004913627064,-135.37030340135155,-3.4566823955081936,2,0,6.0,-1.04,5.56,0.26,0.48,0.44,2.41,6.8,2.6394922971380157,26.33479901371028,-25.73778872116817,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2020-09-26,91.1,1509.0,0.3520853795517181,-132.73831662914623,-1.8089412848150512,1,0,11.0,-0.91,5.53,-1.08,0.31,-1.7,2.75,6.9,-12.918190436767802,27.226379631084576,-28.35969018087263,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2020-09-26,91.1,1447.0,0.8312368782870705,-132.70795336483692,-0.873958504747726,0,0,11.0,-0.9,5.54,-0.97,0.45,-1.41,3.23,6.9,-11.624153875713665,28.441154893337416,-26.86743904561023,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2020-09-26,91.5,1585.0,2.6151256616838614,-133.35521306418346,-4.554675565733217,1,2,7.0,-0.84,5.46,-1.09,0.28,-0.75,1.61,7.0,-13.59356166645764,26.614052907664288,-28.083933432834822,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2020-09-26,92.6,2623.0,1.672115504815744,-135.0175057899359,-0.2638962979424312,1,1,2.0,-0.94,5.53,0.11,0.32,-0.2,3.45,6.8,0.9803449628827892,28.044829560866727,-28.34138463648444,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2020-09-26,100.0,2519.0,8.121750267145755,-145.33897348524528,-4.951194274477422,0,1,12.0,-0.94,5.41,-0.6,1.34,1.45,2.83,7.1,-10.501293857830472,34.93334831699431,-12.145507621510411,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2020-09-26,92.8,2666.0,2.045134394429926,-135.24658719741674,-0.3007982293646414,0,0,12.0,-1.02,5.5,0.32,0.46,0.05,3.54,6.9,3.61338683299477,26.19866645653604,-26.62921403159833,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2020-09-26,94.0,2561.0,2.2010584652666614,-137.0003826535733,-2.143523221798315,2,2,2.0,-0.93,5.59,0.32,0.34,0.18,2.89,6.8,3.6414323936860544,25.65681475582937,-27.587835442681065,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2020-09-26,93.5,1589.0,5.412682335026713,-135.94398779062024,-7.881303523789981,1,2,14.0,-0.75,5.43,-1.18,0.47,0.32,0.6,7.0,-15.790607152509006,26.54150534639772,-24.954449774249404,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2020-09-26,93.6,2688.0,3.270436137264855,-136.41382672152014,-3.897352241082502,1,2,6.0,-1.01,5.49,0.38,0.5,0.56,2.24,7.0,4.195251848518433,24.474347761640335,-25.30023611051817,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2020-09-26,92.4,2652.0,5.467712348855035,-134.57112685447547,-5.24552054668847,1,1,14.0,-0.88,5.53,0.44,0.25,1.61,1.46,6.9,4.479227960652743,24.075605082174437,-28.361666101414308,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2020-09-26,93.1,1564.0,2.000301392905355,-135.6333443876425,-1.6689380430147176,0,1,11.0,-0.8,5.45,-1.13,0.4,-1.0,2.92,7.0,-14.413141356054885,27.524238735153,-27.041235695361543,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2020-09-26,92.9,2612.0,5.191591974038087,-135.2338325476948,-6.389448288440367,0,0,14.0,-0.95,5.5,0.38,0.35,1.37,1.1,6.9,3.694043440041491,25.707727829616697,-26.818809154816943,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2020-09-26,91.9,2563.0,4.844678241676284,-133.96884131276545,-3.147472861147261,3,2,14.0,-1.03,5.43,0.2,0.4,1.03,2.27,6.9,1.5393659825050297,25.20997574618482,-26.93876159924055,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2020-09-26,91.4,2413.0,2.4587637679534424,-133.23267306016098,-1.0008238347797274,3,2,3.0,-0.92,5.54,0.48,0.37,0.46,3.15,6.8,5.26731775315787,26.658462678595697,-27.79042966298188,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2020-09-26,99.2,2335.0,1.014219348672849,-144.46854624400095,0.4817157512788853,2,2,11.0,-1.04,5.45,-0.56,1.25,-1.15,4.72,6.8,-8.08963795843,33.232178791129485,-14.915798417793688,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2020-09-26,93.7,2515.0,2.9067645361437773,-136.57643070310215,-4.903436507177706,2,2,8.0,-1.08,5.5,0.17,0.52,0.18,1.88,6.9,1.57280242815779,26.906886738053352,-24.78817309731132,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2020-09-26,94.7,2664.0,7.156362883216661,-137.60457624088676,-8.263379435949677,1,2,14.0,-0.92,5.52,0.36,0.46,2.11,0.6,6.9,3.067178875589992,29.81722406223007,-24.696168218627008,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2020-09-26,91.8,1627.0,1.5518362672635562,-133.6738193189198,-3.0096395828797355,0,2,11.0,-0.78,5.5,-1.15,0.51,-1.16,2.44,7.0,-14.104423670894594,30.269206209354607,-25.637567212656048,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2020-09-26,99.4,2348.0,3.401270107355208,-144.7460523685993,-3.098492763832727,0,1,2.0,-1.08,5.43,-0.48,1.39,-0.27,3.53,7.0,-7.553701438600573,34.15424906397974,-12.127763121944968,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2020-09-26,99.2,2319.0,5.776577224007582,-144.268861882129,-4.734894001427193,0,0,3.0,-1.07,5.44,-0.36,1.42,0.71,2.96,7.0,-6.418065551270772,34.20694536499636,-11.426399564287752,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2020-09-26,92.6,2576.0,2.790272595980136,-135.00730858079783,-4.03630723684819,3,2,8.0,-1.06,5.5,0.18,0.35,0.17,2.0,6.9,1.6296477043976738,26.19331363105006,-27.216715118873413,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2020-09-26,94.6,2541.0,4.410150830894219,-137.76491860208995,-6.860855727719344,2,2,14.0,-0.98,5.55,0.21,0.42,0.87,1.16,6.9,1.8412534923646888,26.833089058725516,-25.60454118246683,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2020-09-26,99.3,2465.0,4.870616773388463,-144.57990860268498,-4.153689789486221,2,2,2.0,-1.08,5.44,-0.57,1.45,0.19,3.23,7.0,-9.120055859208849,31.40322639831388,-10.991486348929422,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2020-09-26,93.7,2514.0,4.783372371650829,-136.39918145505476,-4.561124880022028,2,1,14.0,-1.15,5.57,0.3,0.42,0.94,1.97,6.8,2.7462972233457323,28.58831599829407,-26.187190796013358,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2020-09-26,98.1,2243.0,2.408824873670203,-142.77312792603587,-2.950974388836118,2,0,11.0,-1.04,5.49,-0.54,1.42,-0.63,3.59,7.0,-7.963610178571794,35.30376850730212,-12.35325709234433,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2020-09-26,97.3,2259.0,2.925412375391659,-141.71620984198483,-1.2000676127303662,1,0,11.0,-1.07,5.54,-0.48,1.41,-0.4,4.24,6.8,-7.117311509753932,33.91684637664367,-13.128444300860332,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2020-09-26,98.3,2294.0,2.444651805599817,-143.07197590961687,1.103966780928998,0,0,11.0,-1.21,5.53,-0.49,1.47,-0.74,5.16,6.8,-7.337497206564137,36.97933234378655,-12.643702489425475,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
