game_date,home_team,away_team,release_speed,release_spin_rate,events,zone,release_pos_x,release_pos_z,pfx_x,pfx_z,plate_x,plate_z,release_extension,vx0,vy0,vz0,ax,ay,az,CH,FF,KC,SL,ball,called_strike,called_strikeout,double,field_error,field_out,home_run,single,strikeout,swinging_strike,walk
2020-09-16,NYY,TOR,96.9,2648.0,called_strike,11,-2.05,5.55,-0.99,1.62,-0.84,2.52,6.5,5.53478824789341,-140.89361867885432,-6.194183970920225,-14.504577286813426,35.60773148936817,-9.469007981936045,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-09-16,NYY,TOR,82.3,2781.0,ball,14,-2.0,5.7,0.76,-0.94,0.4,0.92,6.3,3.9602473001913063,-119.75977243469956,-2.4334214877159863,6.443443045937618,25.61112889396378,-40.894240534642215,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2020-09-16,NYY,TOR,89.9,2711.0,walk,14,-1.97,5.62,0.59,0.76,0.86,1.14,6.3,5.73768328487149,-130.83927213619123,-6.768219857446747,5.6821360831185945,26.16070278680706,-22.203089839761915,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2020-09-16,NYY,TOR,96.9,2665.0,called_strike,9,-1.87,5.6,-0.93,1.48,0.7,1.61,6.4,9.003597316653321,-140.58560621912406,-8.426441049329808,-14.487491763253376,35.47650890463908,-10.699166323976277,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-09-16,NYY,TOR,95.6,2542.0,called_strike,9,-1.91,5.59,-0.87,1.59,0.62,1.78,6.5,8.62876831449167,-138.65520705719285,-7.896234206415079,-13.278739386781838,34.13641540166799,-10.09009399423112,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-09-16,NYY,TOR,95.2,2414.0,ball,13,-1.95,5.56,-1.08,1.55,-0.97,2.18,6.5,5.007287576556867,-138.33884547606328,-6.678320704898019,-14.968192706789392,32.83832414056956,-10.946569515742084,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2020-09-16,NYY,TOR,89.1,2697.0,ball,14,-2.07,5.54,0.48,0.35,1.22,0.57,6.3,7.067496246774543,-129.6210088572189,-6.979946125480587,4.149382529570036,24.17374786741477,-27.02915684916015,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2020-09-16,NYY,TOR,96.9,2653.0,ball,12,-1.82,5.56,-0.95,1.59,1.46,2.78,6.7,10.962994548885826,-140.5453286704787,-5.467867841694271,-15.1413542400375,33.991938089979826,-10.01195367774057,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2020-09-16,NYY,TOR,97.3,2518.0,field_out,11,-2.04,5.54,-0.81,1.45,-0.28,3.55,6.3,6.57954231814255,-141.46887509019533,-3.0571409560000573,-12.474807177891156,36.596197241565314,-12.271626374657084,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2020-09-16,NYY,TOR,80.0,2678.0,called_strike,4,-1.91,5.64,0.81,-1.08,-0.29,2.7,6.1,2.027452409223217,-116.33346583971748,2.33279713671491,6.822034038969575,24.7706419240249,-42.607373245577485,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2020-09-16,NYY,TOR,97.1,2530.0,strikeout,1,-1.97,5.48,-1.14,1.46,-0.62,3.17,6.7,6.281148776862821,-141.1680514581005,-3.9757513951659513,-16.74370345605364,33.68286441778668,-11.912026538867842,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2020-09-16,NYY,TOR,96.4,2513.0,ball,11,-1.96,5.69,-1.03,1.73,-1.28,4.72,6.5,4.184721595287554,-140.26197235234366,-0.8700563254341318,-14.575178096521928,34.96858016101276,-9.551218118587473,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2020-09-16,NYY,TOR,89.0,1558.0,ball,14,-1.95,5.36,-1.1,0.59,0.82,0.38,6.7,9.149476622491154,-129.1594233067606,-7.409111136010353,-14.235030132012533,27.463608002530663,-24.16588317125024,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2020-09-16,NYY,TOR,89.7,1746.0,swinging_strike,4,-1.92,5.47,-1.36,0.94,-0.31,2.43,6.6,6.882580737435524,-130.39272628025043,-3.5198156788836905,-16.942648326012524,27.374191366009036,-20.853478281946806,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-09-16,NYY,TOR,95.8,2454.0,called_strike,11,-1.92,5.55,-1.0,1.51,-0.95,2.9,6.5,4.81846654469297,-139.35616556713055,-4.799704831566475,-14.063631106111831,32.454460917916784,-11.633654334537432,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-09-16,NYY,TOR,95.8,2543.0,ball,11,-1.93,5.63,-1.03,1.57,-1.29,3.91,6.4,4.026082380879453,-139.52986786539446,-2.505122819191122,-14.41883248708718,31.37781529001061,-11.240459462586855,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2020-09-16,NYY,TOR,97.6,2662.0,field_out,3,-1.93,5.61,-0.61,1.6,0.82,3.51,6.4,8.804026760391906,-141.75483276352222,-3.747123939023808,-10.413715891588208,35.17824321576286,-10.054969450701696,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2020-09-16,NYY,TOR,88.1,2812.0,swinging_strike,14,-2.01,5.64,0.73,-0.1,0.53,1.27,6.4,4.678657220992397,-128.31046238936253,-4.422784456499508,7.350298501813195,22.53585100930248,-32.67226687439489,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2020-09-16,NYY,TOR,88.1,2862.0,swinging_strike,14,-1.94,5.64,0.6,0.03,1.34,0.46,6.3,6.738702825586547,-128.16930852590275,-6.612733469255804,5.369415521862126,23.79767533518732,-30.76858574730699,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2020-09-16,NYY,TOR,96.9,2546.0,field_out,1,-1.94,5.54,-1.2,1.52,-0.31,3.04,6.5,7.115601772982123,-140.83399475125938,-4.548494639385156,-17.601402790823585,36.08090708691458,-11.222955852147654,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2020-09-16,NYY,TOR,96.4,2580.0,called_strike,9,-1.86,5.6,-1.02,1.47,0.37,1.99,6.5,8.268367856831489,-139.8658680706979,-7.247635627783837,-15.443263300991664,37.21337102839605,-11.43843525578654,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-09-16,NYY,TOR,83.3,2843.0,strikeout,14,-1.8,5.73,1.19,-0.96,0.76,0.87,6.3,3.5509288774256422,-121.17258235045284,-2.7538156246024386,10.82565072599534,26.212905787428134,-41.14964061732682,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
